,author.uniqueId,total_views,avg_views,total_likes,avg_likes,total_comments,total_shares,total_collects,total_reposts,total_videos,followers,engagement_rate
5461,tinhtungtangvn,36391686,827083.7727272727,845310,19211.590909090908,20732,291953,213537,0,44,296300,0.03768805875056187
5462,tini_9x,65563,65563.0,697,697.0,31,16,257,0,1,3248,0.015267757729207023
5463,tinmoi.dt,1170773,1170773.0,16488,16488.0,576,310,1606,0,1,3800000,0.01621151153981173
5464,tintucamthucviet,386760,64460.0,1165,194.16666666666666,28,92,198,0,6,289,0.003834419278105285
5465,tintucsukien24h,198819,198819.0,1226,1226.0,29,2513,442,0,1,185500,0.021175038602950422
5466,tinvocao,11164,5582.0,10,5.0,1,1,0,0,2,104,0.0010748835542816195
5467,tinysfoodadventures,788,788.0,29,29.0,9,1,8,0,1,2142,0.05964467005076142
5468,tinytacosbinhthanh,1057852,1057852.0,14375,14375.0,610,3777,2654,0,1,1551,0.020244797949051475
5469,tisancor,8839,8839.0,223,223.0,7,8,63,0,1,16000,0.03405362597578911
5470,titanspeakerman863,586160,586160.0,5657,5657.0,28797,451,1483,0,1,1470,0.06207861334789136
5471,titbeolaocai,41778420,1989448.5714285714,1595548,75978.47619047618,10206,17297,61486,0,21,621100,0.040320744537490884
5472,tithamanchoi,998,998.0,12,12.0,0,1,5,0,1,125,0.018036072144288578
5473,tittungtang2k3,2737630,684407.5,76470,19117.5,813,5657,12740,0,4,193200,0.034949938450411486
5474,tiu.chiuchiu,1881509,1881509.0,21531,21531.0,0,1200,2537,0,1,58900,0.013429646097892703
5475,tiubaobaodayy,3112296,622459.2,56257,11251.4,1648,1387,4354,0,5,27800,0.02044985438403031
5476,tixi.ahihi,69928,69928.0,626,626.0,10,22,17,0,1,397,0.009652785722457384
5477,tizidichlep.official,5083521,5083521.0,411710,411710.0,0,18924,29461,0,1,1100000,0.09050715045733065
5478,tkienne11,285521,285521.0,2374,2374.0,137,443,196,0,1,1233,0.011032463461531727
5479,tlsushi.com.gv,80064,80064.0,473,473.0,14,106,6,0,1,1270,0.0074815147881694645
5480,tlsushi.com.pvh,9637,9637.0,178,178.0,17,82,105,0,1,1104,0.039638891771298125
5481,tm.bi711,27894,27894.0,1696,1696.0,86,16,116,0,1,54100,0.06861690686169068
5482,tm.tea,184300,92150.0,4417,2208.5,211,666,2024,0,2,5746,0.039706999457406404
5483,tn.ntn07,3859683,964920.75,95122,23780.5,5182,2300,7309,0,4,111500,0.02847720913867797
5484,tn.tamnguyen,2394,2394.0,24,24.0,0,1,5,0,1,407,0.012531328320802004
5485,tn.thanh0101,168199,168199.0,949,949.0,173,231,132,0,1,2963,0.008828827757596656
5486,tn_24122002,4767,4767.0,87,87.0,19,31,12,0,1,724,0.031256555485630375
5487,tngga_soml,5760,5760.0,652,652.0,7,31,7,0,1,238,0.12100694444444444
5488,tnhy.ngw,316,316.0,92,92.0,2,0,5,0,1,1478,0.31329113924050633
5489,tniibaby0,10121,10121.0,91,91.0,8,6,14,0,1,2476,0.011757731449461515
5490,tnkh_25.09,72682,72682.0,6028,6028.0,42,57,1055,0,1,4452,0.09881401172229713
5491,toan.sama,76409,76409.0,389,389.0,16,6,44,0,1,198,0.005954795901006426
5492,toanmonnha23,7485285,2495095.0,133085,44361.666666666664,1395,14742,49581,0,3,82600,0.026559175769526478
5493,toanplaydo,43060,43060.0,1968,1968.0,76,491,317,0,1,483,0.06623316302833256
5494,tocotaybac,392119,392119.0,2923,2923.0,205,319,172,0,1,11300,0.009229341092882518
5495,toctv1,7114,7114.0,63,63.0,2,0,1,0,1,11500,0.009277481023334271
5496,tocvang.hoe,27873027,3981861.0,958175,136882.14285714287,10826,18626,41779,0,7,2400000,0.03693197728398857
5497,tocvang.home,1335583,1335583.0,42414,42414.0,718,1251,4078,0,1,88100,0.03628452892856528
5498,tocvangho.e,1331436,443812.0,51064,17021.333333333332,232,534,1827,0,3,17800,0.040300097038085195
5499,today_muagi,716519,716519.0,21302,21302.0,2632,2062,2244,0,1,16400,0.039412772026980444
