Video ID,Bitrate,Codec Type,Quality Type
7228005820724808965,459430,h265_hvc1,28
7394475955714018567,912892,h264,20
7394475955714018567,730773,h265_hvc1,2
7394475955714018567,433438,h265_hvc1,14
7394475955714018567,367363,h265_hvc1,28
7186265869561974043,494525,h264,20
7186265869561974043,395643,h265_hvc1,14
7186265869561974043,342510,h265_hvc1,28
7137518336413322523,1900308,h264,20
7137518336413322523,1287087,h265_hvc1,14
7137518336413322523,1081226,h265_hvc1,28
7137518336413322523,1047676,h264,24
7345824976437529857,1075769,h264,20
7345824976437529857,782293,h265_hvc1,2
7345824976437529857,465641,h265_hvc1,14
7345824976437529857,385013,h265_hvc1,28
7395089004489739528,593615,h264,20
7395089004489739528,360384,h265_hvc1,2
7395089004489739528,220973,h265_hvc1,14
7395089004489739528,198547,h265_hvc1,28
7466810678800567584,786738,h264,20
7466810678800567584,572643,h265_hvc1,14
7466810678800567584,469406,h265_hvc1,28
7466810678800567584,464469,h264,24
7467088529596648711,1684628,h264,20
7467088529596648711,1423440,h265_hvc1,2
7467088529596648711,844518,h265_hvc1,14
7467088529596648711,695520,h265_hvc1,28
7467208348429995280,911597,h264,20
7467208348429995280,822054,h265_hvc1,2
7467208348429995280,500978,h265_hvc1,14
7467208348429995280,425279,h265_hvc1,28
7347570595044822305,2101910,h264,20
7347570595044822305,1359822,h265_hvc1,2
7347570595044822305,836472,h265_hvc1,14
7347570595044822305,686081,h265_hvc1,28
7455762946581433622,2095689,h264,20
7455762946581433622,1088811,h265_hvc1,14
7455762946581433622,788136,h264,25
7455762946581433622,773431,h265_hvc1,28
7466832100281404705,886604,h264,20
7466832100281404705,608863,h265_hvc1,14
7466832100281404705,526455,h264,24
7466832100281404705,499315,h265_hvc1,28
7466831505562651936,1418816,h264,20
7466831505562651936,884885,h264,24
7466831505562651936,835660,h265_hvc1,14
7466831505562651936,683778,h265_hvc1,28
7435505513292500240,465049,h264,20
7435505513292500240,301912,h265_hvc1,14
7435505513292500240,253357,h265_hvc1,28
7459713994304064800,3710181,h264,20
7459713994304064800,1804211,h264,24
7459713994304064800,1763675,h265_hvc1,14
7459713994304064800,1432981,h265_hvc1,28
7140420095502748934,1518085,h264,20
7140420095502748934,1071981,h265_hvc1,2
7140420095502748934,840179,h264,24
7140420095502748934,720257,h265_hvc1,14
7140420095502748934,612596,h264,25
7140420095502748934,600082,h265_hvc1,28
7397234263453650184,1682628,h264,20
7397234263453650184,1625158,h265_hvc1,2
7397234263453650184,755336,h265_hvc1,14
7397234263453650184,650680,h265_hvc1,28
7325902693073997089,2742119,h264,20
7325902693073997089,2398688,h265_hvc1,2
7325902693073997089,1501732,h264,24
7325902693073997089,1362277,h265_hvc1,14
7325902693073997089,1025656,h264,25
7325902693073997089,1001307,h265_hvc1,28
7191191111833111835,836597,h264,20
7191191111833111835,647912,h265_hvc1,2
7191191111833111835,456043,h264,24
7191191111833111835,379001,h265_hvc1,14
7191191111833111835,321627,h265_hvc1,28
7462307601901047073,1952094,h264,10
7462307601901047073,1442609,h265_hvc1,2
7462307601901047073,1027456,h265_hvc1,14
