video_path,duration_seconds,subtitle_text
data/raw/videos\sachhay\sachhay7days_official_7246808123204193541.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7256802449531407621.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7275778724228828417.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7278356764989394178.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhay7days_official_7290234685219704066.mp4,0,No subtitles found
data/raw/videos\sachhay\sachhaymoingay301_7431054804199263506.mp4,0,No subtitles found
data/raw/videos\sachhay\startwithplan_7356545550470221072.mp4,0,No subtitles found
data/raw/videos\sachhay\sun_2000dn_7411033300166315272.mp4,0,No subtitles found
data/raw/videos\sachhay\trangsachhaytv_7356090434541587720.mp4,0,No subtitles found
data/raw/videos\sachhay\vitamin_sach_7151034253143231770.mp4,0,No subtitles found
data/raw/videos\sachhay\withvung_7364727625136213290.mp4,0,No subtitles found
data/raw/videos\socola\anflowerandnest_7467064230810881288.mp4,0,No subtitles found
data/raw/videos\socola\annie.riviu_7414063706012749064.mp4,0,No subtitles found
data/raw/videos\socola\anvatcungdua_7315391017996307714.mp4,0,No subtitles found
data/raw/videos\socola\anvatnhacun_7449237933929876743.mp4,0,No subtitles found
data/raw/videos\socola\banban.anvat1_7418276219709377808.mp4,0,No subtitles found
data/raw/videos\socola\bebeconconhcm_7152387659434954011.mp4,0,No subtitles found
data/raw/videos\socola\bich.thao430_7464757703043337479.mp4,0,No subtitles found
data/raw/videos\socola\bichngocamthuc_7188749071388101915.mp4,0,No subtitles found
data/raw/videos\socola\chang.baee_7346427704549346561.mp4,0,No subtitles found
data/raw/videos\socola\chucha_cute_7461636098637270289.mp4,0,No subtitles found
data/raw/videos\socola\chutunghamvui66988_7080733418371190042.mp4,0,No subtitles found
data/raw/videos\socola\cohaidongnat1_7453641335526968583.mp4,0,No subtitles found
data/raw/videos\socola\cohaidongnat1_7454004161240157458.mp4,0,No subtitles found
data/raw/videos\socola\cohaidongnat1_7454076262378654984.mp4,0,No subtitles found
data/raw/videos\socola\dautayyyshop_7427781246652009735.mp4,0,No subtitles found
data/raw/videos\socola\dinhyenchocolate_7329117520470854913.mp4,0,No subtitles found
data/raw/videos\socola\dinhyenchocolate_7330507033541741826.mp4,0,No subtitles found
data/raw/videos\socola\doanvatngonnhabeo_7286766093245353217.mp4,0,No subtitles found
data/raw/videos\socola\doanvatngonnhabeo_7350958626900692225.mp4,0,No subtitles found
data/raw/videos\socola\dungbechuyenmatnick_7458948471559605522.mp4,0,No subtitles found
data/raw/videos\socola\hoangthao_family_7446657432593419527.mp4,0,No subtitles found
data/raw/videos\socola\hongdiep19103_7431787277879201032.mp4,0,No subtitles found
data/raw/videos\socola\hunter.vn_7347330182727929090.mp4,0,No subtitles found
data/raw/videos\socola\kieuhuong3533_7197025521375464731.mp4,0,No subtitles found
data/raw/videos\socola\kieuhuong3533_7326905497209064712.mp4,0,No subtitles found
data/raw/videos\socola\lacvietintech.implant_7153254107287932161.mp4,0,No subtitles found
data/raw/videos\socola\linhanvatlc2_7299833103076347144.mp4,0,No subtitles found
data/raw/videos\socola\manhshop8688_7467760793207999751.mp4,0,No subtitles found
data/raw/videos\socola\meoanvat99_7285997708660280578.mp4,0,No subtitles found
data/raw/videos\socola\mood_choco_7373671121478094096.mp4,0,No subtitles found
data/raw/videos\socola\nhuthuynh77c1_7443393951668768007.mp4,0,No subtitles found
data/raw/videos\socola\phamhongn01_7459335193736924432.mp4,0,No subtitles found
data/raw/videos\socola\premium.gift.boxes_7464539454477192455.mp4,0,No subtitles found
